,Map1_Dust2,Map1_Vertigo,Map1_Inferno,Map1_Overpass,Map1_Train,Map1_Mirage,Map1_Nuke,Map2_Dust2,Map2_Vertigo,Map2_Inferno,Map2_Overpass,Map2_Train,Map2_Mirage,Map2_Nuke,Team1Rank,Team2Rank,Team1WinPercentageMirage,Team1WinPercentageDust2,Team1WinPercentageNuke,Team1WinPercentageOverpass,Team1WinPercentageInferno,Team1WinPercentageVertigo,Team1WinPercentageTrain,Team1WinPercentageCache,Team2WinPercentageMirage,Team2WinPercentageDust2,Team2WinPercentageNuke,Team2WinPercentageOverpass,Team2WinPercentageInferno,Team2WinPercentageVertigo,Team2WinPercentageTrain,Team2WinPercentageCache,Team1ConfidencePickMirage,Team1ConfidencePickDust2,Team1ConfidencePickNuke,Team1ConfidencePickOverpass,Team1ConfidencePickInferno,Team1ConfidencePickVertigo,Team1ConfidencePickTrain,Team1ConfidencePickCache,Team2ConfidencePickMirage,Team2ConfidencePickDust2,Team2ConfidencePickNuke,Team2ConfidencePickOverpass,Team2ConfidencePickInferno,Team2ConfidencePickVertigo,Team2ConfidencePickTrain,Team2ConfidencePickCache,Team1AverageOppRankMirage,Team1AverageOppRankDust2,Team1AverageOppRankNuke,Team1AverageOppRankOverpass,Team1AverageOppRankInferno,Team1AverageOppRankVertigo,Team1AverageOppRankTrain,Team1AverageOppRankCache,Team2AverageOppRankMirage,Team2AverageOppRankDust2,Team2AverageOppRankNuke,Team2AverageOppRankOverpass,Team2AverageOppRankInferno,Team2AverageOppRankVertigo,Team2AverageOppRankTrain,Team2AverageOppRankCache,Team1PlayersPlusMinosMirage,Team1PlayersPlusMinosDust2,Team1PlayersPlusMinosNuke,Team1PlayersPlusMinosOverpass,Team1PlayersPlusMinosInferno,Team1PlayersPlusMinosVertigo,Team1PlayersPlusMinosTrain,Team1PlayersPlusMinosCache,Team2PlayersPlusMinosMirage,Team2PlayersPlusMinosDust2,Team2PlayersPlusMinosNuke,Team2PlayersPlusMinosOverpass,Team2PlayersPlusMinosInferno,Team2PlayersPlusMinosVertigo,Team2PlayersPlusMinosTrain,Team2PlayersPlusMinosCache,Team1RoundsPlusMinosMirage,Team1RoundsPlusMinosDust2,Team1RoundsPlusMinosNuke,Team1RoundsPlusMinosOverpass,Team1RoundsPlusMinosInferno,Team1RoundsPlusMinosVertigo,Team1RoundsPlusMinosTrain,Team1RoundsPlusMinosCache,Team2RoundsPlusMinosMirage,Team2RoundsPlusMinosDust2,Team2RoundsPlusMinosNuke,Team2RoundsPlusMinosOverpass,Team2RoundsPlusMinosInferno,Team2RoundsPlusMinosVertigo,Team2RoundsPlusMinosTrain,Team2RoundsPlusMinosCache,Team1Winner
10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,37,38,0.0,50.0,50.0,50.0,66.66666666666666,0.0,33.33333333333333,0.0,88.88888888888889,100.0,33.33333333333333,0.0,100.0,50.0,50.0,0.0,0.0,0.0,50.0,33.333333333333336,71.42857142857143,0.0,0.0,0.0,76.92307692307692,0.0,0.0,0.0,0.0,0.0,100.0,0.0,21.0,21.375,19.428571428571427,23.5,21.444444444444443,34.0,21.666666666666668,0.0,37.15384615384615,41.0,33.2,0.0,42.833333333333336,29.25,40.5,0.0,0.0,-315.0,4.0,10.0,131.0,-15.0,-121.0,0.0,89.0,66.0,69.0,0.0,-127.0,229.0,2.0,0.0,9.0,-50.0,-16.0,2.0,24.0,-2.0,-20.0,0.0,30.0,13.0,-14.0,0.0,11.0,-2.0,-1.0,0.0,0
11,0,0,0,0,0,1,0,0,0,1,0,0,0,0,19,24,0.0,50.0,100.0,50.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,77.77777777777777,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,40.0,0.0,0.0,90.66666666666667,38.083333333333336,38.25,31.0,53.0,0.0,41.666666666666664,0.0,44.6,49.0,0.0,34.4,42.25,46.166666666666664,39.142857142857146,0.0,0.0,64.0,192.0,-89.0,140.0,0.0,-53.0,0.0,-238.0,-26.0,0.0,-57.0,64.0,-36.0,-202.0,0.0,8.0,29.0,14.0,18.0,33.0,0.0,26.0,0.0,3.0,40.0,0.0,-13.0,49.0,4.0,0.0,0.0,1
12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,29,6,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,100.0,75.0,0.0,0.0,0.0,50.0,83.33333333333333,0.0,100.0,100.0,0.0,0.0,0.0,25.0,0.0,100.0,0.0,60.0,0.0,0.0,39.333333333333336,30.142857142857142,25.9,14.5,30.125,25.5,0.0,0.0,17.4,17.0,16.166666666666668,19.0,34.0,17.428571428571427,5.0,0.0,-6.0,244.0,163.0,10.0,152.0,-240.0,0.0,0.0,101.0,-174.0,-100.0,219.0,50.0,-276.0,210.0,0.0,-8.0,6.0,17.0,-27.0,19.0,10.0,0.0,0.0,10.0,-14.0,10.0,1.0,3.0,38.0,-12.0,0.0,0
13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,36,57,25.0,57.14285714285714,25.0,0.0,40.0,0.0,100.0,0.0,50.0,0.0,0.0,33.33333333333333,33.33333333333333,0.0,0.0,0.0,50.0,50.0,0.0,0.0,62.5,0.0,0.0,0.0,50.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,63.625,54.3,61.857142857142854,75.0,59.375,0.0,72.8,0.0,53.4,33.0,75.0,77.0,26.25,0.0,41.0,0.0,-47.0,57.0,40.0,6.0,-40.0,0.0,23.0,0.0,396.0,322.0,141.0,9.0,-230.0,0.0,0.0,0.0,9.0,-1.0,-22.0,-17.0,16.0,0.0,7.0,0.0,-9.0,-19.0,-17.0,-11.0,-29.0,0.0,-10.0,0.0,0
14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,13,11,33.33333333333333,60.0,40.0,50.0,66.66666666666666,100.0,0.0,0.0,50.0,0.0,50.0,60.0,75.0,80.0,66.66666666666666,0.0,0.0,57.142857142857146,33.333333333333336,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,85.71428571428571,0.0,0.0,15.2,19.0,16.9,14.0,16.25,14.5,0.0,0.0,15.0,0.0,16.333333333333332,15.555555555555555,13.666666666666666,21.333333333333332,24.2,0.0,-283.0,21.0,8.0,12.0,-217.0,0.0,0.0,0.0,-115.0,0.0,-29.0,-5.0,-148.0,79.0,55.0,0.0,3.0,-1.0,-18.0,1.0,13.0,4.0,0.0,0.0,-5.0,0.0,-13.0,56.0,20.0,60.0,-3.0,0.0,1
15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,6,0.0,50.0,75.0,50.0,83.33333333333334,0.0,0.0,0.0,0.0,16.666666666666664,66.66666666666666,0.0,100.0,100.0,50.0,0.0,0.0,100.0,60.0,66.66666666666667,100.0,0.0,0.0,0.0,0.0,30.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,11.5,11.75,9.0,9.777777777777779,18.0,15.8,0.0,20.0,14.666666666666666,15.8,37.0,21.6,18.5,4.75,0.0,0.0,169.0,153.0,-98.0,-60.0,84.0,-203.0,0.0,75.0,-213.0,-103.0,155.0,50.0,-401.0,210.0,0.0,0.0,48.0,19.0,12.0,59.0,8.0,-6.0,0.0,4.0,-14.0,12.0,10.0,17.0,49.0,-8.0,0.0,1
16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,44,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,66.66666666666666,75.0,0.0,100.0,100.0,100.0,0.0,50.0,66.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,66.66666666666667,0.0,0.0,0.0,100.0,0.0,57.25,52.6,39.5,62.0,34.6,0.0,64.2,0.0,33.666666666666664,25.0,39.5,0.0,16.5,48.0,36.333333333333336,0.0,-58.0,-260.0,0.0,-341.0,107.0,0.0,-131.0,0.0,84.0,-21.0,69.0,0.0,-44.0,-1.0,14.0,0.0,11.0,15.0,4.0,4.0,-14.0,0.0,19.0,0.0,69.0,6.0,18.0,0.0,-1.0,9.0,22.0,0.0,0
17,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,11,100.0,100.0,100.0,100.0,66.66666666666666,0.0,0.0,0.0,50.0,0.0,0.0,66.66666666666666,50.0,100.0,0.0,0.0,100.0,66.66666666666667,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666667,0.0,83.33333333333333,0.0,0.0,10.166666666666666,16.333333333333332,12.285714285714286,16.4,21.5,0.0,11.25,0.0,14.6,0.0,16.333333333333332,15.3,12.333333333333334,21.375,24.2,0.0,-186.0,-273.0,153.0,262.0,99.0,0.0,-456.0,0.0,-97.0,0.0,-29.0,-30.0,-148.0,79.0,55.0,0.0,31.0,20.0,8.0,-9.0,5.0,0.0,19.0,0.0,-8.0,0.0,-13.0,60.0,12.0,55.0,-3.0,0.0,1
18,0,0,1,0,0,0,0,0,0,0,0,0,1,0,24,41,50.0,66.66666666666666,0.0,0.0,100.0,0.0,50.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,85.71428571428571,0.0,0.0,0.0,100.0,0.0,33.333333333333336,100.0,100.0,57.142857142857146,0.0,0.0,38.0,46.2,0.0,32.285714285714285,40.22222222222222,48.75,39.142857142857146,0.0,52.0,47.57142857142857,57.42857142857143,40.6,53.6,43.875,0.0,0.0,-231.0,-64.0,0.0,-57.0,82.0,0.0,-202.0,0.0,73.0,14.0,244.0,-110.0,116.0,-58.0,0.0,0.0,12.0,27.0,0.0,-31.0,40.0,-12.0,0.0,0.0,27.0,-4.0,-33.0,-3.0,23.0,20.0,0.0,0.0,1
19,0,1,0,0,0,0,0,0,0,1,0,0,0,0,22,29,0.0,0.0,0.0,0.0,50.0,100.0,0.0,0.0,50.0,100.0,100.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,75.0,80.0,0.0,0.0,100.0,0.0,0.0,16.0,23.5,22.0,24.75,25.6,26.1,32.0,0.0,30.25,27.625,21.142857142857142,21.0,27.5,32.6,0.0,0.0,306.0,-244.0,-23.0,36.0,173.0,105.0,0.0,0.0,-6.0,270.0,224.0,-17.0,216.0,-124.0,0.0,0.0,-19.0,-1.0,-18.0,0.0,-4.0,16.0,-3.0,0.0,6.0,17.0,18.0,-24.0,-12.0,20.0,0.0,0.0,0
20,0,0,0,0,1,0,0,0,0,1,0,0,0,0,21,37,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,50.0,20.0,20.0,0.0,100.0,0.0,0.0,0.0,50.0,66.66666666666667,0.0,0.0,0.0,0.0,57.142857142857146,0.0,0.0,100.0,40.0,33.333333333333336,100.0,0.0,0.0,0.0,12.0,19.8,27.11111111111111,17.8,15.625,0.0,19.625,0.0,23.5,20.444444444444443,19.444444444444443,23.5,19.714285714285715,0.0,20.333333333333332,0.0,-265.0,63.0,-241.0,-85.0,-84.0,0.0,8.0,0.0,0.0,-315.0,4.0,43.0,105.0,0.0,-228.0,0.0,-1.0,-7.0,-24.0,-15.0,-34.0,0.0,16.0,0.0,-2.0,-43.0,-22.0,2.0,28.0,0.0,-19.0,0.0,1
21,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,32,0.0,0.0,0.0,50.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,33.33333333333333,0.0,100.0,0.0,25.0,100.0,0.0,25.0,83.33333333333333,0.0,0.0,0.0,0.0,0.0,100.0,60.0,25.0,0.0,0.0,0.0,16.571428571428573,17.285714285714285,14.5,17.857142857142858,10.88888888888889,23.0,20.333333333333332,0.0,31.0,0.0,32.0,31.666666666666668,24.375,22.333333333333332,30.2,0.0,-25.0,11.0,58.0,13.0,129.0,0.0,-227.0,0.0,-143.0,0.0,12.0,137.0,-119.0,-16.0,28.0,0.0,-10.0,-8.0,13.0,-13.0,26.0,4.0,20.0,0.0,-41.0,0.0,3.0,3.0,-4.0,-28.0,-5.0,0.0,0
22,0,0,1,0,0,0,0,1,0,0,0,0,0,0,13,20,33.33333333333333,50.0,50.0,50.0,60.0,100.0,0.0,0.0,0.0,100.0,66.66666666666666,66.66666666666666,33.33333333333333,0.0,0.0,0.0,0.0,50.0,42.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,50.0,66.66666666666667,75.0,0.0,33.333333333333336,0.0,0.0,15.2,17.5,15.3,10.75,15.714285714285714,11.0,0.0,0.0,0.0,26.333333333333332,21.333333333333332,25.285714285714285,30.142857142857142,15.0,31.0,0.0,-283.0,-82.0,-105.0,12.0,-111.0,0.0,0.0,0.0,0.0,-367.0,8.0,315.0,96.0,-113.0,90.0,0.0,3.0,-12.0,-18.0,-6.0,4.0,5.0,0.0,0.0,0.0,23.0,7.0,0.0,-21.0,-21.0,10.0,0.0,1
23,0,1,0,0,0,0,0,1,0,0,0,0,0,0,48,16,0.0,0.0,0.0,66.66666666666666,33.33333333333333,100.0,50.0,0.0,100.0,100.0,50.0,0.0,100.0,100.0,0.0,0.0,100.0,42.857142857142854,0.0,60.0,0.0,100.0,0.0,0.0,100.0,100.0,33.333333333333336,0.0,25.0,100.0,0.0,0.0,63.8,47.5,0.0,36.333333333333336,26.8,41.6,25.0,0.0,53.0,49.22222222222222,44.75,39.0,48.42857142857143,29.5,0.0,0.0,179.0,-1.0,0.0,-362.0,188.0,108.0,-203.0,0.0,280.0,196.0,-505.0,104.0,196.0,0.0,0.0,0.0,3.0,-4.0,0.0,16.0,-4.0,10.0,-1.0,0.0,44.0,46.0,11.0,11.0,11.0,10.0,0.0,0.0,1
24,0,0,0,0,1,0,0,0,1,0,0,0,0,0,23,11,33.33333333333333,33.33333333333333,0.0,0.0,33.33333333333333,0.0,66.66666666666666,0.0,100.0,0.0,0.0,0.0,50.0,100.0,100.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,100.0,0.0,33.333333333333336,0.0,50.0,75.0,0.0,0.0,28.857142857142858,28.571428571428573,25.8,0.0,36.625,28.75,27.833333333333332,0.0,27.11111111111111,0.0,29.857142857142858,54.0,32.333333333333336,14.0,15.5,0.0,0.0,21.0,42.0,0.0,27.0,-99.0,-42.0,0.0,137.0,0.0,31.0,1.0,130.0,-280.0,0.0,0.0,6.0,-5.0,-14.0,0.0,5.0,7.0,2.0,0.0,57.0,0.0,0.0,4.0,15.0,12.0,10.0,0.0,1
25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,20,5,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,50.0,100.0,100.0,100.0,33.33333333333333,50.0,0.0,0.0,0.0,100.0,0.0,75.0,33.333333333333336,33.333333333333336,50.0,0.0,75.0,50.0,0.0,50.0,33.333333333333336,0.0,0.0,0.0,29.0,18.0,33.3,30.4,28.666666666666668,24.333333333333332,39.25,0.0,21.333333333333332,15.285714285714286,16.833333333333332,29.25,18.333333333333332,18.8,0.0,0.0,0.0,160.0,147.0,-42.0,27.0,-264.0,93.0,0.0,492.0,0.0,0.0,0.0,160.0,99.0,0.0,0.0,-11.0,6.0,-17.0,23.0,17.0,-16.0,-1.0,0.0,19.0,1.0,-9.0,17.0,18.0,-13.0,0.0,0.0,1
26,0,0,0,0,0,0,1,0,0,1,0,0,0,0,26,16,66.66666666666666,50.0,100.0,0.0,50.0,0.0,33.33333333333333,0.0,100.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,71.42857142857143,66.66666666666667,50.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,33.333333333333336,0.0,50.0,100.0,0.0,0.0,24.8,17.125,14.428571428571429,0.0,7.75,7.5,27.857142857142858,0.0,47.666666666666664,52.125,47.42857142857143,27.666666666666668,45.42857142857143,29.5,0.0,0.0,-72.0,-163.0,7.0,0.0,-191.0,110.0,148.0,0.0,280.0,136.0,-514.0,104.0,167.0,0.0,0.0,0.0,24.0,-25.0,11.0,0.0,-9.0,-17.0,19.0,0.0,48.0,52.0,9.0,2.0,23.0,10.0,0.0,0.0,1
27,0,0,0,1,0,0,0,0,0,0,0,0,0,1,36,4,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,66.66666666666666,0.0,0.0,100.0,40.0,0.0,100.0,0.0,50.0,0.0,0.0,66.66666666666667,50.0,0.0,0.0,0.0,55.55555555555556,0.0,23.5,20.444444444444443,21.375,30.0,19.0,0.0,22.0,0.0,21.333333333333332,9.5,5.833333333333333,17.0,16.6,17.333333333333332,18.2,0.0,154.0,-315.0,0.0,33.0,117.0,0.0,-190.0,0.0,-126.0,-244.0,0.0,207.0,114.0,-238.0,-280.0,0.0,-2.0,-43.0,-20.0,-1.0,30.0,0.0,-9.0,0.0,-1.0,14.0,21.0,-6.0,-34.0,-1.0,20.0,0.0,0
